heldout_typology,augmentation,nn_distance_to_heldout_positive,nn_distance_to_heldout_positive,nn_distance_to_heldout_positive,nn_distance_to_train_positive,nn_distance_to_train_positive,nn_distance_to_train_positive,detector_hardness,detector_hardness,detector_hardness,profile_drift,profile_drift,profile_drift,edit_distance,edit_distance,edit_distance,synthetic_log_amount_mean,synthetic_log_amount_mean,synthetic_log_amount_mean,heldout_positive_log_amount_mean,heldout_positive_log_amount_mean,heldout_positive_log_amount_mean
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
integration,curriculum_projected_v2,6.517565300203171,0.02539860181894265,3,0.38281492447639104,0.01495347040012313,3,3.866934807613761,0.08662595612126373,3,0.7320778930788073,0.020625304851502702,3,0.28455181163833915,0.0254670631820176,3,6.549265437503146,0.030141179367767054,3,10.90486186976708,0.0,3
integration,hard_projected_v2,6.609720305515377,0.02275672160633049,3,0.3535663922329086,0.006537245736342784,3,8.096698083910855,0.3671857773268301,3,0.694724921912182,0.06573829271718942,3,0.24781875708116696,0.005396283156635393,3,5.846267980687622,0.04889999392637222,3,10.90486186976708,0.0,3
integration,plausible_hard_projected_v2,6.65782747069461,0.00727642281547789,3,0.33305094044897054,0.004497998953970791,3,6.623926259834129,0.5941296531905449,3,0.46404949548063495,0.020737671043613928,3,0.17944585488092468,0.004090980641427958,3,5.85976667121741,0.035325942123236434,3,10.90486186976708,0.0,3
integration,plausible_typology_projected_v2,6.6583208950864075,0.011751686474885916,3,0.353568054656672,0.005607641835068636,3,6.971950046250594,0.46739271821909945,3,0.4606224095432793,0.020661421727353024,3,0.2301241738828498,0.0028692692127927724,3,5.876898341492004,0.030221100437597542,3,10.90486186976708,0.0,3
integration,random_feasible_v2,5.8311567706511545,0.07983030238657388,3,0.26607337880853205,0.013354950524924364,3,0.014710675343009273,0.008148329144392107,3,1.7617524929752066,0.007836823637410242,3,0.019619443539873115,0.0014582812844119233,3,8.322226959519755,0.021237387708638433,3,10.90486186976708,0.0,3
integration,typology_projected_v2,6.607441381331076,0.020331249777129645,3,0.37794701888529,0.00257850454696234,3,8.404386378140554,0.3114868524726338,3,0.6953509480752428,0.06781360767332116,3,0.3056937916350828,0.0038595083725986917,3,5.8887816814219756,0.08243581605367424,3,10.90486186976708,0.0,3
layering,curriculum_projected_v2,0.7380640420431798,0.025743401510148034,3,0.5369010523590498,0.0214768663022648,3,3.970889091132022,0.13098018618111,3,1.459091425979703,0.14128119805551112,3,0.39179753440535386,0.05069742412333553,3,7.66555871269959,0.18752724421720451,3,8.75843875428417,0.0,3
layering,hard_projected_v2,0.7639574417166363,0.02217280245104,3,0.6172393022674395,0.010294779292826416,3,9.111280976296984,0.010675046793064667,3,1.1073005190672938,0.06867227301186936,3,0.39540572163473753,0.024187620050317243,3,7.234232564554972,0.08344149493091409,3,8.75843875428417,0.0,3
layering,plausible_hard_projected_v2,0.7410806218801005,0.041680064104957455,3,0.499906328489653,0.006245061758769137,3,7.1140155603689506,0.5445134705119428,3,0.9115329859258976,0.07605079574512137,3,0.2789109852826844,0.007577515281745453,3,7.035521062656357,0.11861777774300239,3,8.75843875428417,0.0,3
layering,plausible_typology_projected_v2,0.7263014081671875,0.02690326161817503,3,0.5235745146050763,0.00922238012964156,3,7.948363722200507,0.1003588431766522,3,0.8485420043806093,0.09960683478221462,3,0.3578782012488771,0.011616786489038885,3,6.967639381834169,0.14006401023824408,3,8.75843875428417,0.0,3
layering,random_feasible_v2,1.1816039047242852,0.285087382548121,3,0.37613601906721733,0.09661072027359534,3,0.03948877918005359,0.0417870091016211,3,2.552451091492989,0.11073570037613888,3,0.024995426133792683,0.004290422335977407,3,9.018791929305873,0.12937067850517742,3,8.75843875428417,0.0,3
layering,typology_projected_v2,0.7564430156052872,0.015363431554512898,3,0.637854713684065,0.009336000955198827,3,9.752987911198078,0.16951867278415655,3,1.0822221572595925,0.08056504007481002,3,0.47003580294008546,0.02599100465155752,3,7.2123980134137184,0.11068747199930296,3,8.75843875428417,0.0,3
structuring,curriculum_projected_v2,1.1746613290664494,0.07450741335562464,3,0.4800799776788258,0.032764208562721116,3,3.921105246761288,0.06069786922057273,3,0.665629121580917,0.021528983494829453,3,0.24279509637291727,0.012822524302648625,3,6.555970073097819,0.030035014054593367,3,8.582168950471702,0.0,3
structuring,hard_projected_v2,0.8158184189658879,0.020025432378223816,3,0.3614517384912543,0.011930646079446001,3,8.19211219767652,0.396537665655535,3,0.6340062832684138,0.02800977052465563,3,0.1874229069626873,0.00932586531223478,3,5.634260254453872,0.011980457097507242,3,8.582168950471702,0.0,3
structuring,plausible_hard_projected_v2,0.8205315640509561,0.010469990473513213,3,0.32874329426183,0.009650528500159574,3,6.756475280452009,0.5759144566332728,3,0.42826917705418355,0.020390504507683576,3,0.14919304075674836,0.0047708526072195185,3,5.796468198931341,0.017591845907681404,3,8.582168950471702,0.0,3
structuring,plausible_typology_projected_v2,0.8443661377142574,0.012011740089975242,3,0.34905849712029363,0.008746400660179345,3,7.035987252402085,0.43393241235720115,3,0.42839486378994174,0.017598678295910733,3,0.19390002814925608,0.0056495200750141285,3,5.797187899917806,0.01906850943533631,3,8.582168950471702,0.0,3
structuring,random_feasible_v2,2.34132137745804,0.20996769618460628,3,0.2697139631747745,0.026201957440847284,3,0.029737073734230707,0.025520946216390273,3,1.76838977884593,0.06557798745920469,3,0.017413894907331712,0.0003977802219505838,3,8.330149698598149,0.0927565030238069,3,8.582168950471702,0.0,3
structuring,typology_projected_v2,0.8326098609716087,0.018804026929448225,3,0.381636055218972,0.010602222387911042,3,8.336370167163672,0.369981005439118,3,0.6282181232520047,0.025505554151420827,3,0.22999502076732878,0.0070526846635344635,3,5.6537883815231575,0.014111829023138388,3,8.582168950471702,0.0,3
